device,device_type
097318-482022,Game
932134-254101,Game
311187-241043,Phone
392091-613044,Game
873477-279019,Game
235281-631024,TV
886156-192022,Tablet
802346-406014,Computer
078195-276064,Other
831278-597018,Game
313412-138106,Computer
367478-278086,Phone
751131-754044,Phone
656157-659003,Tablet
588407-279029,Other
858463-209061,Tablet
500290-344037,Tablet
055483-465050,Phone
956167-587103,Tablet
225552-722021,Tablet
068525-286081,Game
504270-591027,Tablet
615084-272063,Tablet
349435-361049,Game
897165-650051,Tablet
185146-773084,Game
306005-755045,Computer
179128-551021,Phone
666204-149032,Tablet
654347-664081,TV
898326-309036,Game
586259-173109,Game
294091-482042,TV
342078-286050,TV
634074-690074,Computer
742234-449066,Phone
326287-188011,Computer
467154-498008,Game
607534-138093,Computer
103159-598061,Game
432405-176054,Phone
106083-213010,Computer
252499-184008,Computer
905272-282038,TV
579305-161033,Phone
832335-205021,Tablet
873458-603018,TV
021402-502030,TV
680129-331042,Tablet
094310-594098,Game
476066-325087,TV
835049-388102,Phone
068097-300025,Computer
578372-597047,TV
065097-634013,Phone
021480-267068,Other
068455-579092,TV
425476-271079,Phone
718271-301058,Game
236164-528097,Computer
367119-234038,Game
197027-196019,TV
257032-262055,Computer
442245-623004,Computer
443236-128060,Tablet
812184-312088,TV
705517-213004,Phone
246237-753098,TV
733190-775095,Game
658168-387078,Game
099295-166032,Tablet
382023-223022,Game
157528-694052,Phone
130033-345051,Phone
298437-311061,Phone
977052-723033,Computer
933184-398027,Other
934079-507061,Computer
415182-678020,Computer
281402-476064,TV
860310-529056,TV
035347-733060,Phone
812016-161097,Computer
778273-113062,Phone
634352-335034,Computer
642368-298017,Computer
382355-294024,Other
458057-345019,TV
378313-459106,Tablet
429125-401015,Tablet
956135-487037,Tablet
157146-547074,Tablet
773286-358108,Game
343480-544070,TV
102546-541001,Other
543406-267041,TV
650254-682017,TV
212222-447060,Tablet
168181-251108,Phone
648329-386033,Other
642001-644024,Game
875191-305085,TV
023032-278076,Other
170302-745063,Game
722015-587028,Game
599426-472096,Game
431547-710030,Other
778289-730035,Other
062173-759058,Computer
817226-774080,TV
503140-184006,TV
903461-591052,TV
071386-306089,TV
131053-767044,Computer
676316-747048,Other
320414-705039,Computer
176220-569071,Other
006306-642042,TV
623210-327003,Phone
701390-702059,TV
446095-319045,Computer
250057-574013,Computer
424341-228014,Phone
791480-599064,Game
810028-233002,Tablet
204254-760036,TV
611304-295101,TV
951009-776106,Phone
826072-498057,Phone
283024-748017,Game
658116-404041,Game
390509-666057,Tablet
219074-122084,TV
776381-192034,Phone
294422-696090,Computer
276359-722083,TV
891069-546080,Phone
255422-647106,TV
339530-120065,TV
402548-516068,TV
960103-199102,Game
141456-132020,Computer
299477-400048,Game
174444-602041,Other
494444-650034,Computer
561471-118104,Phone
291083-491000,Computer
528539-721056,Other
145193-179107,TV
767471-139076,TV
981497-138110,TV
947457-368075,TV
860501-446016,Computer
760294-701105,Game
201483-694012,TV
875185-687057,TV
875240-762104,Tablet
551242-465085,Phone
842224-776087,Game
972525-287001,Game
754257-361061,Computer
259548-358072,TV
981479-258008,TV
317134-656097,TV
576481-324074,Computer
583230-320023,Game
459491-410028,Tablet
560274-597046,Computer
251158-609003,Computer
687123-225074,Other
703122-602070,Tablet
477343-494098,Other
771116-267027,Game
751534-581042,TV
917079-765093,Game
217114-362095,Other
778021-244022,Phone
675266-341022,Other
984338-168000,Other
894020-518041,TV
435371-234026,Computer
888114-417099,Tablet
252450-623106,Tablet
113223-531097,Phone
899201-626062,Game
774545-164031,Computer
216426-613109,Phone
225038-567071,Game
502540-340034,Game
555394-673073,Other
633528-388071,Computer
053549-648003,Tablet
235041-493089,Computer
243275-441057,Game
184194-450036,Computer
051313-635085,Phone
114213-443064,Computer
214439-337097,Other
762384-333016,Tablet
595257-620086,TV
521198-447013,TV
359512-738109,TV
163105-677109,Other
183009-706070,Tablet
256210-252054,Other
631323-548090,Tablet
036007-182030,Tablet
815278-448038,Other
728305-281037,Other
807075-143033,Other
523390-686093,Game
090543-629061,Computer
796332-577044,Game
255294-483001,Phone
570113-584056,TV
946027-474010,Phone
953203-187030,Computer
920358-299066,Other
346188-141003,Computer
184283-254019,Tablet
119379-759106,TV
555554-722073,Other
387380-479043,Tablet
519269-630007,Computer
167116-374024,Computer
695408-572079,TV
315054-121032,TV
044177-540042,Other
451014-594110,Tablet
487022-467031,Tablet
181542-478086,Computer
781507-176102,Phone
443384-118083,Tablet
101094-169059,Tablet
307390-510038,Game
193050-455073,TV
638543-499110,TV
251417-214109,Other
859483-157088,Tablet
458180-175016,Game
644295-760078,Other
879476-295092,TV
931296-774083,Tablet
519378-486063,TV
372450-433088,Game
853316-572060,Tablet
594269-246065,TV
719002-746050,Computer
071364-128081,Game
164468-374074,Game
339246-465036,Computer
427438-582068,TV
247548-683056,Phone
688484-738103,Computer
322233-423065,Computer
900518-220016,Tablet
406443-264001,Game
684225-681038,Other
120292-181009,Other
016210-512073,Game
965053-148051,Tablet
033136-626024,Game
873057-158001,Other
882309-276056,Computer
283188-693100,TV
580231-259048,Tablet
307113-443052,Game
455044-289096,Phone
435548-390047,TV
379041-255062,Other
001444-451100,Computer
825395-154005,Other
399133-763064,Game
722015-561027,Tablet
233467-667010,Game
905131-250110,Game
050119-328008,Phone
484368-186086,Other
179002-140061,Phone
414360-504063,TV
101406-657098,Tablet
440506-447094,Tablet
230433-547001,Other
368093-372017,Game
422087-501079,Phone
070483-622048,TV
337055-260006,Phone
043424-223073,Other
745031-628028,Computer
949333-713047,TV
889279-409107,TV
353103-112014,Other
845326-403078,Game
153453-456105,Phone
235523-247109,Tablet
350534-540093,Tablet
856029-394022,TV
040176-544062,Computer
189326-752037,Game
486002-676071,Tablet
371156-764052,Phone
897199-174088,Computer
928384-683067,Tablet
217227-357020,Other
978416-355064,Game
907113-390030,Game
279332-301072,Computer
646535-581004,Game
838108-144013,Other
683480-199100,Computer
045102-436084,TV
488163-598002,Game
057321-319048,Computer
990416-373064,Phone
555305-268088,Other
843284-256015,TV
159297-461055,Other
500124-682099,Game
390303-632075,Computer
580515-196003,Computer
292507-461062,Game
110080-383015,Tablet
213359-419013,Phone
996150-414010,Game
165190-603067,Computer
326121-223007,Phone
153189-131066,Tablet
483345-609029,Tablet
106463-484047,Other
804113-469069,Computer
198295-149034,Computer
802204-619042,Tablet
943468-377007,TV
140424-355092,TV
721160-698086,Computer
478218-430103,Phone
887335-748069,Game
483445-749078,TV
438009-653074,Phone
298011-690020,Tablet
142177-342091,Phone
502282-541002,TV
647539-649004,Other
402438-128089,Game
727118-429009,Tablet
151353-627022,Tablet
531148-759017,Game
687232-756101,Game
977014-420020,Computer
764211-356052,Computer
313542-475045,Computer
571085-689054,Game
395109-124073,Computer
004347-228043,Tablet
619491-160018,Game
535531-476025,Game
673356-499095,Phone
048330-626011,Phone
327261-442082,Tablet
794201-643008,Other
322351-438073,Phone
644361-567027,Phone
388085-620057,Game
585354-297101,Computer
086500-133092,TV
057101-635052,Computer
332215-148043,Game
578356-337018,Phone
773411-335092,Phone
994155-666044,Game
833230-635066,Game
090366-185103,TV
208073-121022,Game
164096-212008,Tablet
190543-577006,TV
737174-367072,Phone
130423-770043,Game
955297-487080,Tablet
930204-695089,Game
817151-652065,Computer
811026-624059,Tablet
214398-637014,Tablet
466275-677068,Tablet
443111-546000,Phone
052513-515013,Game
237188-379044,Tablet
238026-235079,Other
349294-159012,Tablet
255080-436025,Phone
271533-519036,Phone
356155-338050,Other
132297-120050,Phone
986423-456040,Game
290246-189042,Phone
223100-337073,Phone
093388-670059,Game
770189-525017,Tablet
431284-669104,TV
222453-416090,Tablet
115307-735074,Tablet
675402-636109,Computer
145092-734054,Tablet
775178-176057,Other
455554-162033,Tablet
346437-717022,Game
384243-564105,Other
647409-479095,TV
568428-759051,Phone
568052-621025,Phone
057522-386106,Computer
310048-183009,Phone
435399-148079,Phone
346464-651012,Computer
791277-775099,Phone
248377-151021,TV
560073-582107,Tablet
789070-766060,Tablet
525078-418092,Phone
932178-767046,Game
685140-230032,TV
206522-269092,Phone
353062-375067,TV
344228-175005,Tablet
161200-314039,Phone
676397-320047,Tablet
394070-517092,TV
968509-497031,Computer
411370-537046,TV
565440-328032,Computer
919248-156042,Computer
181439-759044,Tablet
268118-194043,Game
187327-204040,Computer
876528-554071,Computer
841470-739032,Other
851419-732028,Phone
291482-576046,Tablet
909020-688061,Other
201391-421036,Tablet
135341-544072,Game
775227-730092,Other
167244-123002,Tablet
966000-528066,TV
179467-681072,Computer
865292-403106,Tablet
347155-357061,TV
633047-519058,Game
387237-379002,TV
970409-702018,Phone
574273-571077,Phone
274447-188012,Other
020379-402023,Computer
980116-693034,Other
596228-493017,Game
301411-401063,Computer
680554-674069,Computer
458168-391000,Computer
718417-761024,TV
853534-262043,Other
180432-670038,Phone
142038-165072,TV
520095-548030,Phone
154528-218003,Tablet
905070-474110,Phone
287000-497110,Tablet
264253-574067,TV
074217-452023,Phone
657491-195090,Other
008419-652078,Other
342123-673054,Game
786230-441006,Tablet
293354-613075,Phone
620410-568032,Other
257272-703085,Computer
578111-273003,Game
238022-608068,TV
878429-601097,Computer
882391-652026,Phone
255111-226019,Game
557236-605040,Phone
005311-667088,Game
141355-576048,Other
458512-415073,TV
209080-569065,TV
188161-464032,TV
588410-154015,TV
531153-134106,Game
896088-666104,Phone
468489-208084,Computer
360185-545048,TV
857396-703082,Game
636432-198095,Other
942121-535078,Computer
904202-608082,Other
961354-587084,Other
476064-637053,Game
375274-349088,TV
251539-578025,Phone
400500-319077,Phone
011339-435091,Game
966459-175102,Tablet
870145-609043,Tablet
123027-167070,Phone
991083-285088,Other
557515-166103,TV
197234-710008,TV
258518-762028,Phone
592548-748069,Tablet
250164-353036,Phone
240460-356038,Computer
061518-281019,Game
687501-664105,TV
244088-583045,TV
083064-390089,Game
609418-146068,TV
811274-729034,Other
310256-319022,Computer
125347-748080,TV
054152-705089,Tablet
144035-205074,Tablet
957050-113097,Tablet
027471-339074,Phone
535051-370068,Tablet
660152-332088,Tablet
394225-610007,Computer
224412-369102,Game
362222-399103,TV
361229-262056,Phone
266175-628087,Game
312235-740108,Other
506527-121074,TV
977151-177075,Phone
416085-606107,TV
246193-637003,Other
512162-189050,Phone
665415-366062,TV
345553-376029,Tablet
726513-622079,Phone
425517-177077,Computer
102419-256053,Other
361383-637005,TV
609419-161032,Tablet
074458-737065,Phone
594443-415093,Tablet
216073-319037,TV
916138-543016,Other
005000-471073,TV
569549-320075,Computer
731067-249096,Game
459021-367033,Computer
615197-332035,TV
433349-270061,Computer
390271-474093,Other
689174-219046,Computer
129450-366013,Game
253158-161080,Phone
060552-513011,TV
731213-182098,Tablet
218010-770027,Tablet
607222-318073,Computer
360331-168060,TV
094235-252029,Phone
032213-231047,Phone
036268-518110,Tablet
052129-160038,Computer
192367-403023,Phone
062028-520001,Tablet
868456-650052,TV
644427-162037,Game
276204-663037,Phone
651177-150044,Game
271517-688050,Computer
761094-236073,Other
936168-641004,Phone
035041-239002,Game
871024-739053,TV
396534-388077,Phone
946329-283109,TV
148013-507029,Phone
664548-140019,Other
712437-394050,Other
282412-137033,Game
876439-425028,Game
848175-254005,Computer
258002-396065,Phone
703466-711087,Game
134047-734009,Computer
157035-658004,Tablet
265259-192037,Game
229094-277014,Game
248047-722073,Phone
521258-198076,Phone
478320-267090,Other
332053-280105,Phone
241494-464067,Tablet
807240-679032,Game
275543-714000,TV
076011-305097,Phone
067144-711068,Other
364496-526031,Game
685210-123033,Game
324238-261090,Game
584209-749003,TV
016249-268104,TV
731418-399092,Computer
739102-411083,Other
763480-400091,Tablet
418071-463040,Other
663166-598096,Phone
478392-458078,TV
708150-745076,Phone
163130-452110,Tablet
354541-196036,Computer
633431-550016,Other
358282-278041,Game
810216-719039,Computer
976266-307056,Tablet
985532-202010,TV
340093-577068,Other
255037-669086,TV
283309-751018,Other
431072-709108,Tablet
971094-247106,Tablet
424311-461033,Other
514446-285097,Other
939457-762089,Other
939378-326065,Game
996032-671042,Other
431506-287027,Phone
052203-470022,Other
020097-663080,Computer
291400-678016,Other
174441-609073,Computer
446517-535012,Computer
379171-247030,Phone
095195-436076,Game
607328-278015,Tablet
323354-367033,Computer
952157-231025,TV
925135-625059,Tablet
006508-310070,Tablet
978463-504034,Other
650189-564056,Other
202302-754106,Computer
124285-625028,Other
581479-227036,Computer
190098-670010,Other
951379-676009,TV
390434-537086,Game
494006-375067,TV
266357-247016,Computer
775287-755077,Phone
956260-637026,Tablet
276055-234035,Other
567336-151016,Game
798476-620022,Computer
145109-649012,Computer
537168-128101,Game
163275-741014,Tablet
010068-442010,Game
904235-428041,Other
172446-693045,Tablet
711513-748087,Phone
853492-243103,TV
491019-351098,Other
173067-505051,Tablet
256545-310045,Tablet
074076-520082,Computer
120388-525074,Other
846218-603045,Phone
449080-463045,Computer
511474-136051,TV
051321-398077,Other
361303-584066,Phone
795115-595063,Phone
993128-188034,TV
357073-613028,TV
397143-268089,Phone
768144-207013,Game
078307-698096,Phone
600536-734101,Other
723185-487079,Tablet
637287-669009,TV
239330-577021,TV
012030-434097,Other
342313-335092,Tablet
517026-298020,Other
813527-393046,TV
623489-148096,Phone
517428-207093,Other
938343-496035,Computer
092166-563003,Tablet
929532-561059,Computer
438088-220081,Phone
436047-196020,Tablet
917290-633104,TV
617369-451097,Game
345409-137037,Tablet
311408-670046,Phone
399300-413101,Tablet
927552-750069,Phone
637275-167058,Game
779463-502065,Computer
220408-512091,TV
543072-640029,Game
179325-326075,Other
007506-659047,Phone
221388-176084,Phone
066130-540035,TV
347317-229094,Computer
608492-713101,Computer
607253-161075,Other
657112-420051,Computer
936508-225016,Other
363492-728019,TV
043220-573108,Tablet
264401-654073,Phone
254331-296024,Game
395487-565014,Tablet
968285-313103,Other
410387-378036,Game
861310-177098,TV
340326-256018,TV
931243-447043,Other
931529-409009,Phone
286040-624093,Computer
200127-391008,Game
046078-756099,Other
677460-540030,Game
397409-638066,Computer
551330-145051,Computer
268093-545110,Phone
747535-688048,Phone
115524-524059,Computer
619170-664046,Other
481092-488025,Phone
855214-629026,Other
517006-213082,Computer
257201-429086,Game
550495-272013,Phone
046157-704039,Phone
984364-476098,Computer
396541-243054,Computer
838242-648055,Tablet
733322-127061,Phone
006130-774036,Other
917360-249060,Tablet
424302-165063,Other
752508-449066,Game
425061-775013,TV
532250-359084,Tablet
057262-662051,TV
702337-233080,Computer
811058-659033,Phone
455094-412010,Phone
167036-716008,Game
350283-536005,Phone
089313-340099,Phone
160097-463009,Game
954224-442031,Phone
397355-137006,Tablet
554554-611110,TV
207071-698109,Phone
514266-771055,Phone
174115-177085,Tablet
169285-229068,TV
300063-181074,Other
392025-498070,Computer
489092-247008,Phone
265552-521069,Game
211042-537046,TV
026269-662000,Computer
880000-751109,Tablet
083178-149077,Phone
133296-284078,Phone
962256-644092,TV
259180-466083,Game
652308-515038,Tablet
730541-710063,Game
254479-456097,Other
653186-520050,TV
867106-510013,Game
523409-645048,Other
865195-604074,Tablet
892150-747092,Tablet
786012-596017,Other
705209-329063,Phone
724439-653083,TV
475217-127079,TV
039409-320048,TV
885140-534084,Game
914487-478050,Other
160179-590093,Game
784339-127042,Computer
063286-455016,Phone
203369-416022,Phone
542268-233047,Tablet
201142-500031,Phone
169193-542084,Computer
623482-116047,Phone
117300-203045,Other
240424-349024,Other
353545-216070,Game
206204-272045,Computer
023471-330105,Game
065497-279106,Computer
206338-454004,Game
428105-242029,Phone
740461-408051,Game
654130-273085,TV
385471-205027,TV
367529-500001,Phone
711044-534078,Other
921302-225009,Tablet
413369-601108,Computer
499016-536019,Other
701121-118105,Phone
362515-686009,Tablet
314360-446102,Phone
759105-463060,Game
752510-325072,Computer
103246-126021,Phone
179527-223102,Phone
683478-613024,Tablet
807296-743034,Other
547348-142068,Other
094487-556045,Computer
458095-746084,Game
709303-433056,Game
128260-475018,Computer
721144-516085,Computer
402166-232002,TV
527004-252070,Other
689313-259045,Tablet
992547-476086,TV
944496-422080,Other
486402-141069,Other
337103-284072,Computer
685530-442063,TV
172134-514035,Other
657222-301019,TV
829072-742087,Other
025294-638091,Phone
953244-234022,Other
588465-311063,TV
680326-477004,TV
675406-316082,Game
961191-208003,Phone
042543-271010,Tablet
814217-526088,Tablet
220180-606088,Phone
833396-708017,Tablet
826073-282081,Phone
346304-700072,TV
765367-174107,Tablet
454169-589058,Tablet
222477-514070,Game
918211-772110,Computer
745503-542061,TV
424087-541086,TV
752516-513005,Other
463077-159008,Game
513226-111013,Phone
140141-407003,Phone
419242-282037,Computer
480497-147105,Tablet
491517-765007,Phone
136333-711034,TV
520410-717075,Tablet
118466-398020,Computer
406171-160014,Other
973498-519060,Computer
929122-658080,Phone
797072-396056,TV
172400-621023,TV
314201-309027,Computer
716261-481051,TV
686154-138072,Phone
535517-245095,Tablet
142163-144024,Tablet
404472-494074,Game
713000-558011,Phone
025266-130014,Game
845208-727043,Tablet
142035-614017,Game
182077-250059,Computer
185225-194071,Computer
418311-192034,Phone
165209-764050,Phone
315229-702052,Phone
780165-540027,Phone
461238-551082,TV
170264-460054,Game
639554-225053,TV
246462-545032,Phone
967091-237110,Computer
660287-331102,TV
987448-619014,Tablet
125413-471103,Computer
260235-708086,Computer
239503-689038,Phone
610151-660084,Other
921543-394103,Game
754015-664105,Game
588519-254081,Phone
584532-645028,Tablet
519228-376004,Tablet
880370-578005,Tablet
167376-583061,Game
922037-184065,Computer
354232-517097,Computer
102503-552094,TV
305129-545024,TV
314237-361065,Tablet
469503-128081,TV
370502-542098,Tablet
727405-487092,Phone
095121-304088,Phone
667077-193079,Phone
381026-536072,Phone
033343-473037,Phone
417545-208011,Computer
114306-262001,Phone
743068-702091,TV
465065-538017,Computer
628224-249063,Game
371215-439083,Tablet
039230-137026,Other
139391-326093,TV
437031-608093,TV
388220-193104,Phone
279432-284060,TV
811455-137094,Phone
807081-314092,Other
549155-251095,Phone
856376-622037,Game
735038-708002,Phone
174032-678023,Tablet
498440-458051,Computer
077208-137080,Tablet
338360-378035,Other
995103-659059,TV
226114-128024,Computer
343010-748069,TV
535487-131040,Tablet
774400-504040,Tablet
934074-219070,Other
686156-477071,Computer
345518-418010,Tablet
944014-687057,Tablet
306429-412003,Tablet
126441-713028,TV
735543-691078,Game
440410-403076,Phone
923375-612057,Other
459089-592014,Computer
123291-330001,Game
589097-114100,Computer
382102-488020,Phone
766167-150049,Other
771192-390009,Tablet
945001-124076,Other
034444-113078,Phone
688484-256063,Computer
285514-699032,Game
844274-416056,Other
870318-377109,Phone
301227-760102,Computer
071304-664053,Other
749536-621039,Phone
260388-774020,Other
491306-720082,Other
293543-507031,Game
669028-569085,Game
512292-589061,Phone
536215-376003,Other
919189-522088,Tablet
361456-685080,Computer
110245-283110,Game
778316-251083,Other
673090-192057,Computer
339496-704037,Other
037491-358078,Phone
849203-732068,TV
939148-418107,Computer
036439-621033,Other
057199-616105,Computer
718332-221044,TV
302480-605021,Phone
212011-585110,Other
440534-144107,Computer
969180-766067,Computer
546420-175035,Other
789218-684073,Other
436409-413006,Tablet
470358-351021,Computer
115038-621014,Game
254473-325018,Other
428394-640059,Other
259073-602086,Tablet
145249-613012,Phone
690174-328040,Game
305340-243095,Game
737480-670023,Game
749367-404071,Other
464092-365044,Phone
064055-700003,Phone
432363-753008,Game
358266-142021,TV
530275-734090,Game
491376-665043,TV
966182-318040,Other
409419-457040,Other
628177-775096,Tablet
645066-662038,TV
507505-292067,TV
468000-161063,Game
105291-292107,TV
371033-722090,Tablet
863191-349100,Computer
382515-363049,Game
729140-361014,Tablet
597524-184021,Computer
012212-584007,Phone
365320-117004,Tablet
248379-435082,Other
440539-723026,Game
448486-702007,Phone
600492-626080,Tablet
177403-218013,Phone
994207-581070,Other
482534-249020,Phone
773495-333033,Tablet
486356-575056,Phone
906062-409092,Computer
617406-448022,Computer
672192-271065,Other
213504-584109,Other
076001-460055,Other
818382-776033,TV
400333-497079,Other
724176-571008,TV
785396-294097,Tablet
747371-603068,Phone
870226-748041,Other
024053-267023,Tablet
607370-699095,TV
168532-688092,Other
990244-366107,Computer
270094-402071,TV
427313-504100,Other
771379-424004,Game
201216-524053,Game
375410-657015,Computer
148518-750091,Phone
276495-552081,Other
672104-500071,Other
536476-519050,Phone
248091-408031,Other
171292-388042,Tablet
189204-640094,Phone
173014-729068,Other
928107-580093,TV
671096-343016,Phone
111469-286059,Game
187257-407036,Computer
343488-590027,Phone
135188-366062,Computer
161106-729049,Computer
707166-760064,TV
574542-503070,Tablet
687142-246101,Phone
262461-408010,Game
171052-111028,TV
409051-403084,Other
888304-359096,Tablet
926325-300027,Other
071209-204058,Game
513160-581034,Phone
652421-207073,Phone
081223-596066,Game
809347-533002,TV
796195-143012,TV
782423-513005,Tablet
644089-611063,Game
202488-370067,TV
993209-227061,Computer
180281-479074,Game
269313-183028,Game
380388-717065,Tablet
628221-187014,TV
705387-592015,Phone
348396-646089,Tablet
761374-444026,TV
687158-182106,Other
965221-764061,Computer
654453-704025,Tablet
898517-601020,Tablet
020144-157034,Phone
353316-389056,Game
091416-628077,TV
565398-293070,Other
767044-372082,Tablet
255233-232099,Phone
100432-327056,Game
146461-651102,Phone
113476-581104,Game
429326-280095,Tablet
323548-139110,Phone
185230-144088,Game
917246-764069,Game
087466-710005,Other
698405-598032,Tablet
581549-443025,Tablet
714335-240013,Tablet
775043-215048,Game
570310-650001,Tablet
784165-345109,Tablet
421330-157097,TV
058533-189062,Computer
319199-716035,Phone
285232-392066,Other
414231-284050,Game
250491-271098,Phone
984470-532042,Other
004173-765094,Tablet
357050-645010,TV
478417-622076,Computer
745310-466022,Phone
007165-516063,Computer
652164-137096,TV
837520-171033,Phone
017376-473092,Game
834329-224091,Tablet
262376-362044,Tablet
873096-272106,Game
876228-373016,TV
245248-290034,Game
424023-753078,Game
516166-767051,TV
036546-232105,Phone
002319-176089,Tablet
836481-547098,Computer
259135-498017,Game
895520-262016,Game
476450-252086,Game
974249-570064,Phone
046221-570053,Game
647222-526082,Other
765084-553035,Computer
783466-644019,Other
793143-418002,Tablet
743287-195079,Other
246059-582077,Game
831093-628019,Game
150335-308099,Other
639540-145080,Other
004064-570066,Phone
517241-372041,Game
689253-138072,Tablet
399048-664005,Game
624142-527070,Game
656485-710067,Computer
786204-392049,Phone
661325-317066,Tablet
728235-387025,TV
116100-506088,Game
768164-404087,Other
602097-758053,Game
740245-751042,Phone
176069-703001,TV
648222-619006,Computer
150115-327067,Game
068304-367042,Other
039329-628008,TV
197517-519044,Computer
914013-128008,TV
015172-591014,Other
703426-511074,Phone
728290-221036,Other
555290-597090,Computer
937205-292105,Other
393173-480060,TV
707457-204033,Computer
987052-422082,Game
460266-273008,TV
988074-685093,Phone
585474-638066,TV
462395-254002,Computer
665246-322083,TV
608229-544042,Computer
561127-259005,Game
249425-737012,TV
301084-235024,Tablet
513248-589094,Game
245073-131107,Computer
271392-661032,Other
665131-461083,Other
793276-613064,Other
299545-146019,Game
400476-273047,TV
825152-513012,Other
630043-668015,Computer
750052-156071,Game
412196-293089,Computer
218060-326010,Tablet
622504-582020,Computer
597346-346008,Game
536542-492017,TV
639403-348102,Tablet
742075-701012,TV
300411-323025,Tablet
465299-153020,TV
325437-660047,Computer
170139-164096,Other
676076-756041,Other
298061-436088,Game
116553-521090,TV
281407-643027,Other
624036-525106,TV
382300-440001,Game
686097-223073,Computer
119066-680041,Computer
218381-674072,Computer
893502-137055,Game
347176-210066,Computer
699306-444084,Computer
297086-621006,Computer
147097-587052,Phone
111395-687092,Tablet
223407-258056,Game
698193-752024,Game
029470-766078,Game
772269-638096,Phone
613373-547088,Computer
374407-184034,Tablet
994064-378053,Game
755308-507042,Other
252235-480100,Tablet
374308-401095,Computer
633162-582027,TV
559513-675030,TV
876397-164094,Game
707158-640098,Game
402286-494008,Game
458293-158045,Tablet
369317-671056,Game
982026-745082,Other
102150-485105,Other
199316-647021,Phone
487461-653046,Tablet
015335-490087,Computer
711267-704049,Phone
757166-150100,Tablet
215018-246075,Other
194199-309108,TV
235500-360033,Computer
665334-387088,Other
766391-325040,Computer
437131-517001,TV
888099-687019,TV
412107-359072,Tablet
532189-617107,Phone
087312-630100,Computer
526088-143008,Computer
161462-180077,Phone
399297-567025,Phone
650524-250049,Phone
678372-748004,TV
480118-318058,Tablet
105029-559106,Other
011045-517105,Phone
598551-261013,TV
874070-351038,Phone
294384-365079,TV
761087-700043,Phone
249059-200098,Computer
798554-697014,Tablet
676476-658073,Tablet
058550-735031,Other
096349-183103,TV
352095-743027,Phone
725129-628077,Other
527399-748105,Phone
545087-695040,Tablet
915050-583058,Other
703480-460103,Tablet
763506-270008,Other
454180-617017,Computer
364221-746085,Other
265463-355016,Phone
338496-425100,Tablet
780067-240094,Phone
344537-252109,Tablet
825208-540007,Game
353155-372006,Phone
682447-730025,Other
698082-388054,Phone
039217-521100,Game
329522-521012,Computer
397223-568108,TV
870416-489089,TV
650205-335078,Game
773184-659096,Phone
191122-216014,Phone
303488-707075,Computer
701421-621009,Computer
073234-666045,Phone
220374-265001,Game
393390-327098,Tablet
471038-321082,TV
514531-623105,Tablet
376418-716026,Other
256382-241059,Game
065254-658099,Phone
539096-283102,Computer
456281-630036,Tablet
011226-436030,Phone
221289-356005,Other
795498-513071,Game
721189-753041,Tablet
027104-505100,Computer
705333-432009,Other
920241-687037,Other
276463-675053,TV
219281-114053,Computer
084031-454034,Other
978401-308090,Phone
044180-480025,TV
886401-697100,Tablet
236423-123072,Computer
039382-776015,TV
518291-533080,TV
800435-209050,Other
138499-665054,Tablet
699437-462080,Computer
825039-629087,Phone
762055-215050,Computer
852219-481065,Tablet
373284-660052,Computer
437321-208104,Tablet
706002-555039,TV
538000-580006,Game
101432-421083,Computer
891236-680008,Computer
429055-708097,Tablet
109205-666108,Computer
867210-200023,Phone
526050-604081,TV
187033-479006,Tablet
016262-572074,Computer
408208-400048,TV
627169-334058,Tablet
466271-530014,Tablet
347277-255018,Other
040129-574014,TV
183154-368017,Phone
371327-660005,Computer
226405-523072,TV
848342-329071,TV
028478-355070,TV
320225-400052,TV
701030-624071,Game
012116-192009,Computer
624229-261018,Phone
129487-723064,Game
798229-216104,Computer
374380-260109,TV
188489-182056,Computer
247197-743067,Phone
680104-726042,Phone
493257-550102,Computer
940511-517047,Other
510141-617063,TV
225518-458044,TV
193426-145068,Computer
072236-121024,Computer
597273-612048,Other
720146-331003,Phone
228068-435022,Tablet
815157-684051,TV
810065-583096,Computer
248347-680012,Computer
425405-559071,Phone
393420-678010,Game
442394-307020,Computer
247333-646007,Phone
720351-208022,Computer
707120-691095,Phone
125198-215071,Phone
468441-654075,TV
527337-505071,TV
758384-483000,Phone
458077-764013,Computer
293460-756063,Game
234331-482084,Tablet
067232-583040,Computer
259222-186051,Other
334223-696025,TV
453358-485020,Game
959477-735103,Tablet
990235-225068,Game
271183-328065,Phone
292500-503095,Tablet
537243-606010,TV
619487-426027,Tablet
390488-202032,TV
978191-200090,Tablet
570457-389024,Computer
357322-153046,Computer
690509-575013,Tablet
880437-395005,TV
314077-232093,Other
396404-315101,Phone
945270-563004,Computer
337194-219017,Game
441421-486087,Phone
466464-184092,Phone
843344-483094,Tablet
341540-305060,Other
020239-712021,Game
893437-609070,Computer
054087-397061,Tablet
852508-316048,Game
489125-705101,Phone
347383-682083,TV
068177-540069,Computer
591378-606080,Other
269001-152096,Computer
604363-718009,Phone
647062-672010,Computer
374197-384001,Computer
657410-222091,Computer
809484-156065,Phone
373526-255104,Other
841202-495099,TV
711438-181071,Other
300025-736063,Other
426090-241050,Game
484442-252022,Computer
695053-174101,Computer
092257-226100,Tablet
499118-291022,Other
815409-610028,Other
337209-261051,Tablet
514180-493052,Game
